model,record_count,avg_prediction_time_s,std_prediction_time_s,records_per_second
polarity,50,0.005809991599999798,0.000740858236228484,8605.864421559876
polarity,100,0.01044360820000012,0.000255608492873513,9575.234735443144
polarity,200,0.01605793319999993,0.00021995774347758758,12454.902975932226
polarity,300,0.025674516599999996,0.00017739438429768045,11684.738009828783
polarity,500,0.03996058340000026,0.0002836079345391288,12512.329837506744
polarity,800,0.06787814159999979,0.002472618066497401,11785.826499410268
subjectivity,50,0.011147350000000066,0.006144033252591853,4485.370962605436
subjectivity,100,0.0066683083999999225,0.0018466648203506997,14996.30700943603
subjectivity,200,0.012151791400000177,0.004644886540178162,16458.478706275117
subjectivity,300,0.013163316400000014,0.00038295951889661615,22790.60921152056
subjectivity,500,0.022866633399999968,0.0006567296275348531,21865.92102359942
subjectivity,800,0.0360806334000003,0.0004973044862043598,22172.559753343838
